Type	Name	Image	W Status	Probability	Description	Occurrence						Notes
In-Combat Effects	Explosive Charge	#VALUE!	Yes	7	Deals 30% of Weapon ATK as Fixed DMG to 1 part excluding the part hit		1	2	1	1		"Single-shot weapons only.
Cannot be triggered outside of combat.
Cannot trigger on missed attacks.
Two-handed weapons and backpack weapons only"
In-Combat Effects	Explosive Charge	#VALUE!	No	6	Deals 30% of Weapon ATK as Fixed DMG to 1 part excluding the part hit	3	5	2				"Single-shot weapons only.
Cannot be triggered outside of combat.
Cannot trigger on missed attacks"
In-Combat Effects	Legs Fractured	#VALUE!	Yes	7	DMG +40% against Legs				1	1	2	Two-handed weapons and backpack weapons only
In-Combat Effects	Legs Fractured	#VALUE!	No	5	DMG +40% against Legs	6	5	5	6			
In-Combat Effects	Slamming	#VALUE!	Yes	7	DMG +20%			3	1	1	2	Two-handed weapons and backpack weapons only
In-Combat Effects	Slamming	#VALUE!	No	5	DMG +20%	10	6	6	6	6		
In-Combat Effects	Splash	#VALUE!	Yes	7	"Deals Splash DMG to 1 part, except the part hit,
equal to 20% of damage dealt"			2		1	2	"Two-handed weapons and backpack weapons only.
Single-shot weapons only.
Cannot be triggered outside of combat.
Cannot trigger on missed attacks"
In-Combat Effects	Splash	#VALUE!	No	6	"Deals Splash DMG to 1 part, except the part hit,
equal to 20% of damage dealt"	5	5	4	6	5	5	"Single-shot weapons only.
Cannot be triggered outside of combat.
Cannot trigger on missed attacks"
In-Combat Effects	Body Break	#VALUE!	Yes	4	DMG +30% against Body parts					5	6	
In-Combat Effects	Burst Apart	#VALUE!	No	6	For every 1 AP consumed, DMG +5%, up to 25%					6	6	
In-Combat Effects	Dominant	#VALUE!	No	3	The first hit of this attack is guaranteed to be critical						5	
In-Combat Effects	Resistance	#VALUE!	No	4	DMG Taken -20%		1	1	1	2	3	"Cannot be triggered outside of combat.
Shield weapons only"
In-Combat Effects	Maneuver	#VALUE!	Yes	2	When retaliated against, triggers [Absolute Dodge]					1		"Two-handed weapons only.
Not triggerable by Tactical Weapons"
In-Combat Effects	Maneuver	#VALUE!	No	1	When retaliated against, triggers [Absolute Dodge]		5	5	3	5	2	Not triggerable by Tactical Weapons
In-Combat Effects	Piercing	#VALUE!	Yes	9	Ignores 50% of the target’s Armor		1	3				Two-handed weapons and backpack weapons only
In-Combat Effects	Piercing	#VALUE!	No	8	Ignores 50% of the target’s Armor	5	6	6	6	6		
Special Effects	Command	#VALUE!	Yes	4	Orders allies within 3 adjacent tiles to perform a [Link Attack] together			1	1	1	2	"Only for Two-Handed Weapon use.
Not triggerable by Tactical Weapons. 1-turn cooldown
between triggers. Link Attacks deal 0.2x DMG
(attacks require no ally skill prerequisites and consume no Link charges)"
Special Effects	Command	#VALUE!	No	3	Orders allies within 3 adjacent tiles to perform a [Link Attack] together	4	5	5	3	3		"Not triggerable by Tactical Weapons. 1-turn cooldown
between triggers. Link Attacks deal 0.2x DMG
(attacks require no ally skill prerequisites and consume no Link charges)"
Special Effects	Augmentation	#VALUE!	No	9	Bullets +1			4	2			"Only for Assault Weapon Use.
Cannot be triggered outside of combat"
Special Effects	Augmented	#VALUE!	Yes	11	Increases this attack’s multiplier by +0.1		2	1	1			"Cannot be triggered outside of combat.
Two-handed weapons and backpack weapons only"
Special Effects	Augmented	#VALUE!	No	10	Increases this attack’s multiplier by +0.1	5	6					"Cannot be triggered outside of combat.
Rocket Launcher triggers 75% reduced effect"
